Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
EMPLOYEE RELATIONS,0142-5455,1758-7069,MANAGEMENT,3.4,Q3, 153/227 ,7.49%,SSCI
JOURNAL OF CRUSTACEAN BIOLOGY,0278-0372,1937-240X,MARINE & FRESHWATER BIOLOGY,1.1,Q3, 79/106 ,6.88%,SCIE
BOTANICA MARINA,0006-8055,1437-4323,MARINE & FRESHWATER BIOLOGY,2.2,Q2, 36/106 ,11.81%,SCIE
Journal of Management & Organization,1833-3672,1839-3527,MANAGEMENT,3.3,Q3, 157/227 ,15.07%,SSCI
Journal of Contemporary China,1067-0564,1469-9400,AREA STUDIES,2.6,Q1, 7/84 ,10.20%,SSCI
Journal of Leadership & Organizational Studies,1548-0518,1939-7089,MANAGEMENT,4.8,Q2, 107/227 ,17.78%,SSCI
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,1058-6407,1530-9134,MANAGEMENT,1.9,Q4, 203/227 ,19.05%,SSCI
Strategic Organization,1476-1270,1741-315X,MANAGEMENT,4.9,Q2, 103/227 ,23.24%,SSCI
JOURNAL OF INFORMATION TECHNOLOGY,0268-3962,1466-4437,MANAGEMENT,5.6,Q2, 84/227 ,26.98%,SSCI
Review of Managerial Science,1863-6683,1863-6691,MANAGEMENT,5.5,Q2, 89/227 ,39.87%,SSCI
JOURNAL OF APPLIED BEHAVIORAL SCIENCE,0021-8863,1552-6879,MANAGEMENT,3.5,Q3, 148/227 ,16.13%,SSCI
International Journal of Emerging Markets,1746-8809,1746-8817,MANAGEMENT,2.7,Q4, 178/227 ,2.93%,SSCI
Managerial Auditing Journal,0268-6902,1758-7735,MANAGEMENT,2.9,Q3, 170/227 ,1.27%,SSCI
Industry and Innovation,1366-2716,1469-8390,MANAGEMENT,3.9,Q3, 134/227 ,30.95%,SSCI
Biomaterials Research,1226-4601,2055-7124,"MATERIALS SCIENCE, BIOMATERIALS",11.3,Q1, 3/45 ,100%,SCIE
Research in Transportation Business and Management,2210-5395,2210-5409,MANAGEMENT,4.8,Q2, 107/227 ,13.46%,SSCI
Marine Ecology-An Evolutionary Perspective,0173-9565,1439-0485,MARINE & FRESHWATER BIOLOGY,1.1,Q3, 79/106 ,6.11%,SCIE
Management and Organization Review,1740-8776,1740-8784,MANAGEMENT,2.9,Q3, 170/227 ,17.24%,SSCI
Freshwater Science,2161-9549,2161-9565,MARINE & FRESHWATER BIOLOGY,1.8,Q2, 46/106 ,16.87%,SCIE
Computers and Concrete,1598-8198,1598-818X,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",4.1,Q1, 5/32 ,0%,SCIE
Journal of Fashion Marketing and Management,1361-2026,1758-7433,MANAGEMENT,3.5,Q3, 148/227 ,5.39%,SSCI
Journal of Family Business Strategy,1877-8585,1877-8593,MANAGEMENT,7.2,Q1, 51/227 ,16.25%,SSCI
AQUATIC ECOLOGY,1386-2588,1573-5125,MARINE & FRESHWATER BIOLOGY,1.8,Q2, 46/106 ,12.96%,SCIE
Journal of Asian Ceramic Societies,2187-0764,2187-0764,"MATERIALS SCIENCE, CERAMICS",2.3,Q2, 9/28 ,96.97%,SCIE
Regenerative Biomaterials,2056-3418,2056-3426,"MATERIALS SCIENCE, BIOMATERIALS",6.7,Q1, 11/45 ,98.76%,SCIE
SMALL GROUP RESEARCH,1046-4964,1552-8278,MANAGEMENT,3.7,Q3, 141/227 ,22.83%,SSCI
JOURNAL OF NONDESTRUCTIVE EVALUATION,0195-9298,1573-4862,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.8,Q2, 10/32 ,19.77%,SCIE
JOURNAL OF MANAGEMENT INQUIRY,1056-4926,1552-6542,MANAGEMENT,3.1,Q3, 162/227 ,20.17%,SSCI
Journal of Innovation & Knowledge,2530-7614,2444-569X,MANAGEMENT,18.1,Q1, 2/227 ,88.64%,SSCI
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,0267-5730,1741-5276,MANAGEMENT,2.8,Q4, 174/227 ,0%,SSCI
International Journal of Management Education,1472-8117,2352-3565,MANAGEMENT,5.2,Q2, 100/227 ,15.95%,SSCI
Journal of Oral Science,1343-4934,1880-4926,"MATERIALS SCIENCE, BIOMATERIALS",1.9,Q4, 41/45 ,98.81%,SCIE
Human Resource Development Quarterly,1044-8004,1532-1096,MANAGEMENT,3.3,Q3, 157/227 ,14.12%,SSCI
POLYMERS & POLYMER COMPOSITES,0967-3911,1478-2391,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.1,Q3, 17/32 ,22.33%,SCIE
CRUSTACEANA,0011-216X,1568-5403,MARINE & FRESHWATER BIOLOGY,0.6,Q4, 98/106 ,1.47%,SCIE
Global Strategy Journal,2042-5791,2042-5805,MANAGEMENT,7.6,Q1, 44/227 ,27.83%,SSCI
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,1175-8805,MARINE & FRESHWATER BIOLOGY,1.6,Q3, 55/106 ,6.80%,SCIE
Human Resource Development Review,1534-4843,1552-6712,MANAGEMENT,6.4,Q2, 63/227 ,3.45%,SSCI
ECOLOGY OF FRESHWATER FISH,0906-6691,1600-0633,MARINE & FRESHWATER BIOLOGY,1.8,Q2, 46/106 ,11.46%,SCIE
Materials Today Bio,2590-0064,2590-0064,"MATERIALS SCIENCE, BIOMATERIALS",8.2,Q1, 8/45 ,81.29%,SCIE
Cornell Hospitality Quarterly,1938-9655,1938-9663,MANAGEMENT,3.5,Q3, 148/227 ,7.26%,SSCI
AFRICAN AFFAIRS,0001-9909,1468-2621,AREA STUDIES,2.8,Q1, 6/84 ,23.75%,SSCI
EUROPE-ASIA STUDIES,0966-8136,1465-3427,AREA STUDIES,1.4,Q2, 30/84 ,21.46%,SSCI
MANAGEMENT LEARNING,1350-5076,1461-7307,MANAGEMENT,2.4,Q4, 189/227 ,30%,SSCI
Biointerphases,1934-8630,1559-4106,"MATERIALS SCIENCE, BIOMATERIALS",2.1,Q4, 40/45 ,19.11%,SCIE
POWDER DIFFRACTION,0885-7156,1945-7413,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",0.5,Q4, 32/32 ,13.82%,SCIE
Materials Testing,0025-5300,2195-8572,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.5,Q2, 13/32 ,0.95%,SCIE
Electronic Commerce Research,1389-5753,1572-9362,MANAGEMENT,3.9,Q3, 134/227 ,8.71%,SSCI
Journal of Contingencies and Crisis Management,0966-0879,1468-5973,MANAGEMENT,3.1,Q3, 162/227 ,24.03%,SSCI
RESEARCH-TECHNOLOGY MANAGEMENT,0895-6308,1930-0166,MANAGEMENT,2.2,Q4, 193/227 ,20.45%,SSCI
JOURNAL OF COASTAL CONSERVATION,1400-0350,1874-7841,MARINE & FRESHWATER BIOLOGY,2.1,Q2, 39/106 ,15.66%,SCIE
Disaster Prevention and Management,0965-3562,1758-6100,MANAGEMENT,1.9,Q4, 203/227 ,10.27%,SSCI
Marine Biodiversity,1867-1616,1867-1624,MARINE & FRESHWATER BIOLOGY,1.6,Q3, 55/106 ,19.53%,SCIE
JOURNAL OF MOLLUSCAN STUDIES,0260-1230,1464-3766,MARINE & FRESHWATER BIOLOGY,1.2,Q3, 73/106 ,6.25%,SCIE
ASIAN SURVEY,0004-4687,1533-838X,AREA STUDIES,0.9,Q3, 46/84 ,0%,SSCI
Computational Economics,0927-7099,1572-9974,MANAGEMENT,2.0,Q4, 200/227 ,14.77%,SSCI
Knowledge Management Research & Practice,1477-8238,1477-8246,MANAGEMENT,3.2,Q3, 159/227 ,9.20%,SSCI
BIO-MEDICAL MATERIALS AND ENGINEERING,0959-2989,1878-3619,"MATERIALS SCIENCE, BIOMATERIALS",1.0,Q4, 44/45 ,1.83%,SCIE
MEDITERRANEAN MARINE SCIENCE,1108-393X,,MARINE & FRESHWATER BIOLOGY,2.8,Q1, 19/106 ,92.27%,SCIE
MODERN ASIAN STUDIES,0026-749X,1469-8099,AREA STUDIES,0.9,Q3, 46/84 ,32.16%,SSCI
Scandinavian Journal of Management,0956-5221,1873-3387,MANAGEMENT,2.0,Q4, 200/227 ,30.38%,SSCI
Turkish Journal of Fisheries and Aquatic Sciences,1303-2712,2149-181X,MARINE & FRESHWATER BIOLOGY,1.3,Q3, 69/106 ,95.77%,SCIE
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,0923-4748,1879-1719,MANAGEMENT,4.8,Q2, 107/227 ,13.25%,SSCI
Management Communication Quarterly,0893-3189,1552-6798,MANAGEMENT,2.5,Q4, 185/227 ,8.74%,SSCI
Advanced Biosystems,,2366-7478,"MATERIALS SCIENCE, BIOMATERIALS",4.1,Q3, 23/45 ,24.34%,SCIE
International Journal of Managing Projects in Business,1753-8378,1753-8386,MANAGEMENT,2.7,Q4, 178/227 ,7.43%,SSCI
INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,0965-075X,1468-2389,MANAGEMENT,2.2,Q4, 193/227 ,19.85%,SSCI
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,0309-3247,2041-3130,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1.6,Q3, 20/32 ,8%,SCIE
NEW TECHNOLOGY WORK AND EMPLOYMENT,0268-1072,1468-005X,MANAGEMENT,5.8,Q2, 79/227 ,39.29%,SSCI
JOURNAL OF ASIAN STUDIES,0021-9118,1752-0401,AREA STUDIES,1.9,Q1, 20/84 ,0%,SSCI
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,1092-7026,1099-1743,MANAGEMENT,2.7,Q4, 178/227 ,14.34%,SSCI
Advances in Applied Ceramics,1743-6753,1743-6761,"MATERIALS SCIENCE, CERAMICS",2.2,Q2, 10/28 ,6.50%,SCIE
Leadership,1742-7150,1742-7169,MANAGEMENT,3.4,Q3, 153/227 ,31.50%,SSCI
JOURNAL OF INORGANIC MATERIALS,1000-324X,,"MATERIALS SCIENCE, CERAMICS",1.7,Q2, 14/28 ,99.81%,SCIE
European Management Review,1740-4754,1740-4762,MANAGEMENT,3.7,Q3, 141/227 ,27.12%,SSCI
Nonprofit Management & Leadership,1048-6682,1542-7854,MANAGEMENT,2.8,Q4, 174/227 ,10%,SSCI
International Journal of Lean Six Sigma,2040-4166,2040-4174,MANAGEMENT,4.0,Q3, 133/227 ,8.47%,SSCI
Sustainability Accounting Management and Policy Journal,2040-8021,2040-803X,MANAGEMENT,4.5,Q3, 120/227 ,7.23%,SSCI
GROUP DECISION AND NEGOTIATION,0926-2644,1572-9907,MANAGEMENT,3.0,Q3, 166/227 ,20.51%,SSCI
JOURNAL OF SOUTHERN AFRICAN STUDIES,0305-7070,1465-3893,AREA STUDIES,0.5,Q4, 68/84 ,18.34%,SSCI
EURASIAN GEOGRAPHY AND ECONOMICS,1538-7216,1938-2863,AREA STUDIES,3.8,Q1, 4/84 ,16.56%,SSCI
AQUATIC MAMMALS,0167-5427,,MARINE & FRESHWATER BIOLOGY,1.2,Q3, 73/106 ,0%,SCIE
Marine Biology Research,1745-1000,1745-1019,MARINE & FRESHWATER BIOLOGY,1.1,Q3, 79/106 ,8.43%,SCIE
SYSTEM DYNAMICS REVIEW,0883-7066,1099-1727,MANAGEMENT,4.8,Q2, 107/227 ,32.69%,SSCI
Gender in Management,1754-2413,1754-2421,MANAGEMENT,3.7,Q3, 141/227 ,3.91%,SSCI
MIS Quarterly Executive,1540-1960,1540-1979,MANAGEMENT,4.1,Q3, 127/227 ,0%,SSCI
STRAIN,0039-2103,1475-1305,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.1,Q3, 17/32 ,15.85%,SCIE
EXPERIMENTAL TECHNIQUES,0732-8818,1747-1567,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1.6,Q3, 20/32 ,7.17%,SCIE
Aquatic Invasions,1798-6540,1818-5487,MARINE & FRESHWATER BIOLOGY,1.6,Q3, 55/106 ,100%,SCIE
JOURNAL OF MODERN AFRICAN STUDIES,0022-278X,1469-7777,AREA STUDIES,0.8,Q3, 54/84 ,30.88%,SSCI
International Journal of Islamic and Middle Eastern Finance and Management,1753-8394,1753-8408,MANAGEMENT,3.0,Q3, 166/227 ,1%,SSCI
AFRICA,0001-9720,1750-0184,AREA STUDIES,1.2,Q2, 36/84 ,30.33%,SSCI
AQUATIC LIVING RESOURCES,0990-7440,1765-2952,MARINE & FRESHWATER BIOLOGY,1.1,Q3, 79/106 ,37.88%,SCIE
AUSTRALIAN JOURNAL OF MANAGEMENT,0312-8962,1327-2020,MANAGEMENT,4.8,Q2, 107/227 ,3.76%,SSCI
Journal of the Australian Ceramic Society,2510-1560,2510-1579,"MATERIALS SCIENCE, CERAMICS",1.9,Q2, 13/28 ,2.90%,SCIE
PACIFIC REVIEW,0951-2748,1470-1332,AREA STUDIES,2.1,Q1, 13/84 ,7.47%,SSCI
Information and Organization,1471-7727,1873-7919,MANAGEMENT,6.3,Q2, 65/227 ,4%,SSCI
Review of African Political Economy,0305-6244,1740-1720,AREA STUDIES,1.3,Q2, 33/84 ,0%,SSCI
PACIFIC SCIENCE,0030-8870,1534-6188,MARINE & FRESHWATER BIOLOGY,0.7,Q4, 94/106 ,5.26%,SCIE
Journal of Organizational and End User Computing,1546-2234,1546-5012,MANAGEMENT,6.5,Q2, 61/227 ,88.27%,SSCI
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,0020-7438,1471-6380,AREA STUDIES,1.0,Q2, 42/84 ,38.82%,SSCI
International Journal of Applied Glass Science,2041-1286,2041-1294,"MATERIALS SCIENCE, CERAMICS",2.1,Q2, 11/28 ,19.61%,SCIE
JOURNAL OF CONTEMPORARY ASIA,0047-2336,1752-7554,AREA STUDIES,2.2,Q1, 11/84 ,11.72%,SSCI
Aquatic Biology,1864-7790,1864-7782,MARINE & FRESHWATER BIOLOGY,1.4,Q3, 63/106 ,100%,SCIE
International Journal of Bioprinting,2424-7723,2424-8002,"MATERIALS SCIENCE, BIOMATERIALS",8.4,Q1, 7/45 ,88.82%,SCIE
Asia Pacific Journal of Human Resources,1038-4111,1744-7941,MANAGEMENT,3.2,Q3, 159/227 ,3.05%,SSCI
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,0825-0383,1936-4490,MANAGEMENT,2.2,Q4, 193/227 ,1.56%,SSCI
Service Business,1862-8516,1862-8508,MANAGEMENT,5.9,Q2, 77/227 ,13.33%,SSCI
JOURNAL OF CERAMIC PROCESSING RESEARCH,1229-9162,1229-9162,"MATERIALS SCIENCE, CERAMICS",1.3,Q3, 17/28 ,1.17%,SCIE
Operations Management Research,1936-9735,1936-9743,MANAGEMENT,9.0,Q1, 30/227 ,16.58%,SSCI
INSIGHT,1354-2575,1754-4904,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1.1,Q4, 25/32 ,0%,SCIE
REVIEW OF INDUSTRIAL ORGANIZATION,0889-938X,1573-7160,MANAGEMENT,1.1,Q4, 219/227 ,19.43%,SSCI
Journal of Service Theory and Practice,2055-6225,2055-6225,MANAGEMENT,4.6,Q3, 115/227 ,11.32%,SSCI
IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,0265-5012,1759-5436,AREA STUDIES,0.7,Q3, 60/84 ,75.31%,SSCI
Biomimetics,,2313-7673,"MATERIALS SCIENCE, BIOMATERIALS",4.5,Q2, 22/45 ,100%,SCIE
LATIN AMERICAN PERSPECTIVES,0094-582X,1552-678X,AREA STUDIES,0.7,Q3, 60/84 ,7.34%,SSCI
STRENGTH OF MATERIALS,0039-2316,1573-9325,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",0.7,Q4, 30/32 ,0%,SCIE
Information Systems and E-Business Management,1617-9846,1617-9854,MANAGEMENT,3.6,Q3, 145/227 ,22.96%,SSCI
Aquaculture Environment Interactions,1869-215X,1869-7534,MARINE & FRESHWATER BIOLOGY,2.2,Q2, 36/106 ,100%,SCIE
LATIN AMERICAN RESEARCH REVIEW,0023-8791,1542-4278,AREA STUDIES,0.8,Q3, 54/84 ,94.51%,SSCI
Inland Waters,2044-2041,2044-205X,MARINE & FRESHWATER BIOLOGY,3.1,Q1, 16/106 ,22.05%,SCIE
Progress in Biomaterials,2194-0509,2194-0517,"MATERIALS SCIENCE, BIOMATERIALS",4.9,Q2, 18/45 ,9.88%,SCIE
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS,0883-9115,1530-8030,"MATERIALS SCIENCE, BIOMATERIALS",1.7,Q4, 42/45 ,0%,SCIE
PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,0960-8974,1878-4208,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",5.1,Q1, 1/32 ,0%,SCIE
African Studies Review,0002-0206,1555-2462,AREA STUDIES,1.6,Q2, 24/84 ,30.88%,SSCI
Innovation-Organization & Management,1447-9338,2204-0226,MANAGEMENT,2.8,Q4, 174/227 ,19.44%,SSCI
Asia Pacific Business Review,1360-2381,1743-792X,MANAGEMENT,2.9,Q3, 170/227 ,5.85%,SSCI
MECHANICS OF TIME-DEPENDENT MATERIALS,1385-2000,1573-2738,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.5,Q2, 13/32 ,10.67%,SCIE
Journal of the Korean Ceramic Society,1229-7801,2234-0491,"MATERIALS SCIENCE, CERAMICS",2.5,Q1, 7/28 ,2.60%,SCIE
Journal of Competitiveness,1804-171X,1804-1728,MANAGEMENT,7.3,Q1, 49/227 ,98.33%,SSCI
Latin American Journal of Aquatic Research,0718-560X,0718-560X,MARINE & FRESHWATER BIOLOGY,1.0,Q4, 84/106 ,86.97%,SCIE
Physics and Chemistry of Glasses-European Journal of Glass Science and Technology Part B,1753-3562,,"MATERIALS SCIENCE, CERAMICS",0.6,Q4, 24/28 ,0%,SCIE
INTERNATIONAL REVIEW OF HYDROBIOLOGY,1434-2944,1522-2632,MARINE & FRESHWATER BIOLOGY,1.9,Q2, 45/106 ,24.53%,SCIE
AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,1814-2338,MARINE & FRESHWATER BIOLOGY,1.2,Q3, 73/106 ,4.27%,SCIE
Journal of Applied Biomaterials & Functional Materials,,2280-8000,"MATERIALS SCIENCE, BIOMATERIALS",2.5,Q4, 38/45 ,94.21%,SCIE
International Journal of Accounting Information Systems,1467-0895,1873-4723,MANAGEMENT,4.6,Q3, 115/227 ,15.87%,SSCI
LAKE AND RESERVOIR MANAGEMENT,1040-2381,2151-5530,MARINE & FRESHWATER BIOLOGY,1.5,Q3, 60/106 ,18.18%,SCIE
Nationalities Papers-The Journal of Nationalism and Ethnicity,0090-5992,1465-3923,AREA STUDIES,1.2,Q2, 36/84 ,38.57%,SSCI
Chinese Management Studies,1750-614X,1750-6158,MANAGEMENT,2.2,Q4, 193/227 ,0.88%,SSCI
CAHIERS DE BIOLOGIE MARINE,0007-9723,2262-3094,MARINE & FRESHWATER BIOLOGY,0.6,Q4, 98/106 ,0%,SCIE
Academy of Management Discoveries,,2168-1007,MANAGEMENT,6.3,Q2, 65/227 ,0%,SSCI
MIDDLE EASTERN STUDIES,0026-3206,1743-7881,AREA STUDIES,0.5,Q4, 68/84 ,6.14%,SSCI
POWDER METALLURGY AND METAL CERAMICS,1068-1302,1573-9066,"MATERIALS SCIENCE, CERAMICS",1.0,Q3, 21/28 ,0%,SCIE
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,1463-4988,1539-4077,MARINE & FRESHWATER BIOLOGY,0.8,Q4, 92/106 ,0%,SCIE
JOURNAL OF ASIAN AND AFRICAN STUDIES,0021-9096,1745-2538,AREA STUDIES,1.0,Q2, 42/84 ,7.23%,SSCI
ALGAE,1226-2617,2093-0860,MARINE & FRESHWATER BIOLOGY,3.2,Q1, 15/106 ,100%,SCIE
ICHTHYOLOGICAL RESEARCH,1341-8998,1616-3915,MARINE & FRESHWATER BIOLOGY,1.2,Q3, 73/106 ,2.37%,SCIE
PHYCOLOGICAL RESEARCH,1322-0829,1440-1835,MARINE & FRESHWATER BIOLOGY,1.5,Q3, 60/106 ,10.99%,SCIE
SLAVIC REVIEW,0037-6779,2325-7784,AREA STUDIES,0.9,Q3, 46/84 ,20%,SSCI
Organizational Psychology Review,2041-3866,2041-3874,MANAGEMENT,6.1,Q2, 72/227 ,19.67%,SSCI
DIATOM RESEARCH,0269-249X,2159-8347,MARINE & FRESHWATER BIOLOGY,1.8,Q2, 46/106 ,5.13%,SCIE
GLASS PHYSICS AND CHEMISTRY,1087-6596,1608-313X,"MATERIALS SCIENCE, CERAMICS",0.7,Q4, 23/28 ,2.04%,SCIE
Amfiteatru Economic,1582-9146,2247-9104,MANAGEMENT,2.6,Q4, 184/227 ,83.80%,SSCI
MODERN CHINA,0097-7004,1552-6836,AREA STUDIES,1.0,Q2, 42/84 ,6.60%,SSCI
CERAMICS-SILIKATY,0862-5468,1804-5847,"MATERIALS SCIENCE, CERAMICS",0.9,Q4, 22/28 ,93.75%,SCIE
CHINA JOURNAL,1324-9347,1835-8535,AREA STUDIES,4.3,Q1, 2/84 ,0%,SSCI
Marine and Coastal Fisheries,1942-5120,1942-5120,MARINE & FRESHWATER BIOLOGY,1.7,Q2, 53/106 ,86.67%,SCIE
BRQ-Business Research Quarterly,2340-9436,2340-9444,MANAGEMENT,2.9,Q3, 170/227 ,93.58%,SSCI
Russian Journal of Marine Biology,1063-0740,1608-3377,MARINE & FRESHWATER BIOLOGY,0.6,Q4, 98/106 ,0.92%,SCIE
JOURNAL OF LATIN AMERICAN STUDIES,0022-216X,1469-767X,AREA STUDIES,1.1,Q2, 40/84 ,22.50%,SSCI
Baltic Journal of Management,1746-5265,1746-5273,MANAGEMENT,3.1,Q3, 162/227 ,12.59%,SSCI
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,0366-3175,2173-0431,"MATERIALS SCIENCE, CERAMICS",3.4,Q1, 6/28 ,95.14%,SCIE
European Journal of International Management,1751-6757,1751-6765,MANAGEMENT,1.8,Q4, 208/227 ,1.96%,SSCI
POST-SOVIET AFFAIRS,1060-586X,1938-2855,AREA STUDIES,2.2,Q1, 11/84 ,26.47%,SSCI
Work Aging and Retirement,2054-4642,2054-4650,MANAGEMENT,3.7,Q3, 141/227 ,22.13%,SSCI
RUSSIAN JOURNAL OF NONDESTRUCTIVE TESTING,1061-8309,1608-3385,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",0.9,Q4, 28/32 ,3.67%,SCIE
Asia Pacific Viewpoint,1360-7456,1467-8373,AREA STUDIES,2.1,Q1, 13/84 ,16.36%,SSCI
Information Technology & Management,1385-951X,1573-7667,MANAGEMENT,2.4,Q4, 189/227 ,11.54%,SSCI
GLASS AND CERAMICS,0361-7610,1573-8515,"MATERIALS SCIENCE, CERAMICS",0.6,Q4, 24/28 ,0%,SCIE
European Research on Management and Business Economics,2444-8834,2444-8842,MANAGEMENT,5.8,Q2, 79/227 ,81.48%,SSCI
Knowledge and Management of Aquatic Ecosystems,1961-9502,1961-9502,MARINE & FRESHWATER BIOLOGY,1.8,Q2, 46/106 ,97.32%,SCIE
INVERTEBRATE BIOLOGY,1077-8306,1744-7410,MARINE & FRESHWATER BIOLOGY,1.2,Q3, 73/106 ,11.34%,SCIE
Central Asian Survey,0263-4937,1465-3354,AREA STUDIES,1.2,Q2, 36/84 ,22.41%,SSCI
Undersea and Hyperbaric Medicine,1066-2936,,MARINE & FRESHWATER BIOLOGY,0.9,Q4, 88/106 ,0%,SCIE
LATIN AMERICAN POLITICS AND SOCIETY,1531-426X,1548-2456,AREA STUDIES,1.9,Q1, 20/84 ,19.51%,SSCI
Beton- und Stahlbetonbau,0005-9900,1437-1006,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1.1,Q4, 25/32 ,0%,SCIE
AFRICAN JOURNAL OF AQUATIC SCIENCE,1608-5914,1727-9364,MARINE & FRESHWATER BIOLOGY,1.4,Q3, 63/106 ,2.16%,SCIE
EAST EUROPEAN POLITICS AND SOCIETIES,0888-3254,1533-8371,AREA STUDIES,0.7,Q3, 60/84 ,13.07%,SSCI
Action Research,1476-7503,1741-2617,MANAGEMENT,1.9,Q4, 203/227 ,8.74%,SSCI
PACIFIC AFFAIRS,0030-851X,1715-3379,AREA STUDIES,1.6,Q2, 24/84 ,0%,SSCI
CRITICAL ASIAN STUDIES,1467-2715,1472-6033,AREA STUDIES,2.6,Q1, 7/84 ,10.53%,SSCI
Asian Business & Management,1472-4782,1476-9328,MANAGEMENT,3.9,Q3, 134/227 ,9.70%,SSCI
CIENCIAS MARINAS,0185-3880,,MARINE & FRESHWATER BIOLOGY,0.7,Q4, 94/106 ,96.55%,SCIE
Nondestructive Testing and Evaluation,1058-9759,1477-2671,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.6,Q2, 12/32 ,10.88%,SCIE
Journal of Management Analytics,2327-0012,2327-0039,MANAGEMENT,5.9,Q2, 77/227 ,2.27%,SSCI
Engineering Management Journal,1042-9247,2377-0643,MANAGEMENT,2.5,Q4, 185/227 ,1.85%,SSCI
MIDDLE EAST JOURNAL,0026-3141,1940-3461,AREA STUDIES,0.7,Q3, 60/84 ,0%,SSCI
Journal of Chinese Political Science,1080-6954,1874-6357,AREA STUDIES,4.4,Q1, 1/84 ,8.11%,SSCI
International Journal of Strategic Property Management,1648-715X,1648-9179,MANAGEMENT,2.7,Q4, 178/227 ,97%,SSCI
East European Politics,2159-9165,2159-9173,AREA STUDIES,3.2,Q1, 5/84 ,30.58%,SSCI
Animal Biotelemetry,,2050-3385,MARINE & FRESHWATER BIOLOGY,2.7,Q1, 22/106 ,100%,SCIE
Journal of Eastern African Studies,1753-1055,1753-1063,AREA STUDIES,1.4,Q2, 30/84 ,39.78%,SSCI
Biomaterials Advances,,2772-9508,"MATERIALS SCIENCE, BIOMATERIALS",,, N/A ,10.64%,SCIE
Ocean Science Journal,1738-5261,2005-7172,MARINE & FRESHWATER BIOLOGY,1.3,Q3, 69/106 ,2.33%,SCIE
Journal of Responsible Innovation,2329-9460,2329-9037,MANAGEMENT,3.9,Q3, 134/227 ,71.70%,SSCI
Fishes,,2410-3888,MARINE & FRESHWATER BIOLOGY,2.3,Q2, 34/106 ,100%,SCIE
Turkish Studies,1468-3849,1743-9663,AREA STUDIES,1.3,Q2, 33/84 ,5.83%,SSCI
LIMNETICA,0213-8409,1989-1806,MARINE & FRESHWATER BIOLOGY,1.4,Q3, 63/106 ,64.65%,SCIE
Physical Mesomechanics,1029-9599,1990-5424,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1.6,Q3, 20/32 ,1%,SCIE
Fundamental and Applied Limnology,1863-9135,1863-9135,MARINE & FRESHWATER BIOLOGY,1.0,Q4, 84/106 ,0%,SCIE
European Security,0966-2839,1746-1545,AREA STUDIES,1.6,Q2, 24/84 ,49.06%,SSCI
SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES,0085-6401,1479-0270,AREA STUDIES,0.9,Q3, 46/84 ,8.63%,SSCI
Journal of Biobased Materials and Bioenergy,1556-6560,1556-6579,"MATERIALS SCIENCE, BIOMATERIALS",0.5,Q4, 45/45 ,0%,SCIE
MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY,1023-6244,1029-0362,MARINE & FRESHWATER BIOLOGY,1.0,Q4, 84/106 ,2.44%,SCIE
ARCHIVES OF MECHANICS,0373-2029,0373-2029,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",0.8,Q4, 29/32 ,0%,SCIE
Eurasian Business Review,1309-4297,2147-4281,MANAGEMENT,3.5,Q3, 148/227 ,27.66%,SSCI
