Journal,ISSN,eISSN,Category,IF,Quartile,Edition
HUMAN FACTORS,0018-7208,1547-8181, ERGONOMICS,3.598,Q2,SSCI
HUMAN FACTORS,0018-7208,1547-8181," PSYCHOLOGY, APPLIED",3.598,Q2,SSCI
REGULATORY TOXICOLOGY AND PHARMACOLOGY,0273-2300,1096-0295,"MEDICINE, LEGAL",3.598,Q1,SCIE
REGULATORY TOXICOLOGY AND PHARMACOLOGY,0273-2300,1096-0295, TOXICOLOGY,3.598,Q2,SCIE
REGULATORY TOXICOLOGY AND PHARMACOLOGY,0273-2300,1096-0295, PHARMACOLOGY & PHARMACY,3.598,Q2,SCIE
Profesional de la Informacion,1386-6710,1699-2407,COMMUNICATION,3.596,Q2,SSCI
Profesional de la Informacion,1386-6710,1699-2407, INFORMATION SCIENCE & LIBRARY SCIENCE,3.596,Q2,SSCI
ELECTROPHORESIS,0173-0835,1522-2683,BIOCHEMICAL RESEARCH METHODS,3.595,Q2,SCIE
ELECTROPHORESIS,0173-0835,1522-2683," CHEMISTRY, ANALYTICAL",3.595,Q2,SCIE
Diabetes Therapy,1869-6953,1869-6961,ENDOCRINOLOGY & METABOLISM,3.595,Q3,SCIE
JOURNAL OF BIOTECHNOLOGY,0168-1656,1873-4863,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,3.595,Q2,SCIE
BMC IMMUNOLOGY,,1471-2172,IMMUNOLOGY,3.594,Q3,SCIE
Ecosphere,2150-8925,2150-8925,ECOLOGY,3.593,Q2,SCIE
European Journal of Cardiovascular Nursing,1474-5151,1873-1953,NURSING,3.593,Q1,SCIE
European Journal of Cardiovascular Nursing,1474-5151,1873-1953, NURSING,3.593,Q1,SSCI
European Journal of Cardiovascular Nursing,1474-5151,1873-1953, CARDIAC & CARDIOVASCULAR SYSTEMS,3.593,Q2,SCIE
Local Environment,1354-9839,1469-6711,URBAN STUDIES,3.59,Q2,SSCI
Local Environment,1354-9839,1469-6711, GEOGRAPHY,3.59,Q2,SSCI
Local Environment,1354-9839,1469-6711, ENVIRONMENTAL STUDIES,3.59,Q3,SSCI
Local Environment,1354-9839,1469-6711, REGIONAL & URBAN PLANNING,3.59,Q3,SSCI
Local Environment,1354-9839,1469-6711, GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,3.59,Q4,SSCI
APPLIED SPECTROSCOPY,0003-7028,1943-3530,SPECTROSCOPY,3.588,Q1,SCIE
APPLIED SPECTROSCOPY,0003-7028,1943-3530, INSTRUMENTS & INSTRUMENTATION,3.588,Q2,SCIE
SPORT EDUCATION AND SOCIETY,1357-3322,1470-1243,EDUCATION & EDUCATIONAL RESEARCH,3.586,Q2,SSCI
SPORT EDUCATION AND SOCIETY,1357-3322,1470-1243, SPORT SCIENCES,3.586,Q2,SCIE
SPORT EDUCATION AND SOCIETY,1357-3322,1470-1243," HOSPITALITY, LEISURE, SPORT & TOURISM",3.586,Q3,SSCI
Lubricants,,2075-4442,"ENGINEERING, MECHANICAL",3.584,Q2,SCIE
Annals of Gastroenterological Surgery,2475-0328,2475-0328,GASTROENTEROLOGY & HEPATOLOGY,3.583,Q3,SCIE
PEDIATRIC CLINICS OF NORTH AMERICA,0031-3955,1557-8240,PEDIATRICS,3.58,Q2,SCIE
CLINICAL DRUG INVESTIGATION,1173-2563,1179-1918,PHARMACOLOGY & PHARMACY,3.58,Q3,SCIE
RHEUMATOLOGY INTERNATIONAL,0172-8172,1437-160X,RHEUMATOLOGY,3.58,Q3,SCIE
Journal of Material Cycles and Waste Management,1438-4957,1611-8227,ENVIRONMENTAL SCIENCES,3.579,Q3,SCIE
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280,TOXICOLOGY,3.579,Q2,SCIE
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280, GENETICS & HEREDITY,3.579,Q2,SCIE
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,1098-2280, ENVIRONMENTAL SCIENCES,3.579,Q3,SCIE
DRUG METABOLISM AND DISPOSITION,0090-9556,1521-009X,PHARMACOLOGY & PHARMACY,3.579,Q3,SCIE
IEEE SPECTRUM,0018-9235,1939-9340,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.578,Q2,SCIE
JOURNAL OF PHARMACOLOGICAL SCIENCES,1347-8613,1347-8648,PHARMACOLOGY & PHARMACY,3.578,Q3,SCIE
Fractal and Fractional,,2504-3110,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.577,Q1,SCIE
Memetic Computing,1865-9284,1865-9292,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,3.577,Q2,SCIE
Memetic Computing,1865-9284,1865-9292," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.577,Q2,SCIE
Complementary Therapies in Clinical Practice,1744-3881,1873-6947,INTEGRATIVE & COMPLEMENTARY MEDICINE,3.577,Q2,SCIE
Photodiagnosis and Photodynamic Therapy,1572-1000,1873-1597,ONCOLOGY,3.577,Q3,SCIE
Eurasian Business Review,1309-4297,2147-4281,ECONOMICS,3.574,Q2,SSCI
Eurasian Business Review,1309-4297,2147-4281, MANAGEMENT,3.574,Q3,SSCI
Eurasian Business Review,1309-4297,2147-4281, BUSINESS,3.574,Q3,SSCI
MATERIALS LETTERS,0167-577X,1873-4979,"PHYSICS, APPLIED",3.574,Q2,SCIE
MATERIALS LETTERS,0167-577X,1873-4979," MATERIALS SCIENCE, MULTIDISCIPLINARY",3.574,Q3,SCIE
ILR Review,0019-7939,2162-271X,INDUSTRIAL RELATIONS & LABOR,3.573,Q2,SSCI
INTERNATIONAL DAIRY JOURNAL,0958-6946,1879-0143,FOOD SCIENCE & TECHNOLOGY,3.572,Q2,SCIE
COMPUTATIONAL MATERIALS SCIENCE,0927-0256,1879-0801,"MATERIALS SCIENCE, MULTIDISCIPLINARY",3.572,Q3,SCIE
JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,0731-7085,1873-264X,"CHEMISTRY, ANALYTICAL",3.571,Q2,SCIE
JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,0731-7085,1873-264X, PHARMACOLOGY & PHARMACY,3.571,Q3,SCIE
JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION,0731-5724,1541-1087,NUTRITION & DIETETICS,3.571,Q3,SCIE
Conservation Science and Practice,,2578-4854,BIODIVERSITY CONSERVATION,3.57,Q2,SCIE
Balkan Medical Journal,2146-3123,2146-3131,"MEDICINE, GENERAL & INTERNAL",3.57,Q2,SCIE
CURRENT TOPICS IN MEDICINAL CHEMISTRY,1568-0266,1873-5294,"CHEMISTRY, MEDICINAL",3.57,Q3,SCIE
CHEMISTRY AND PHYSICS OF LIPIDS,0009-3084,1873-2941,BIOPHYSICS,3.57,Q2,SCIE
CHEMISTRY AND PHYSICS OF LIPIDS,0009-3084,1873-2941, BIOCHEMISTRY & MOLECULAR BIOLOGY,3.57,Q3,SCIE
EvoDevo,,2041-9139,EVOLUTIONARY BIOLOGY,3.569,Q2,SCIE
EvoDevo,,2041-9139, DEVELOPMENTAL BIOLOGY,3.569,Q2,SCIE
FOOT & ANKLE INTERNATIONAL,1071-1007,1944-7876,ORTHOPEDICS,3.569,Q2,SCIE
Frontiers in Pediatrics,2296-2360,2296-2360,PEDIATRICS,3.569,Q2,SCIE
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,1095-6670,1099-0461,TOXICOLOGY,3.568,Q2,SCIE
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,1095-6670,1099-0461, BIOCHEMISTRY & MOLECULAR BIOLOGY,3.568,Q3,SCIE
NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,0749-159X,1098-2426,"MATHEMATICS, APPLIED",3.568,Q1,SCIE
Journal of Analytical Science and Technology,2093-3134,2093-3371,"CHEMISTRY, ANALYTICAL",3.568,Q2,SCIE
Frontiers in Synaptic Neuroscience,1663-3563,1663-3563,NEUROSCIENCES,3.567,Q3,SCIE
SOCIOLOGIA RURALIS,0038-0199,1467-9523,SOCIOLOGY,3.567,Q1,SSCI
SOCIOLOGIA RURALIS,0038-0199,1467-9523, GEOGRAPHY,3.567,Q2,SSCI
GEOGRAPHICAL ANALYSIS,0016-7363,1538-4632,GEOGRAPHY,3.566,Q2,SSCI
Linguistic Typology,1430-0532,1613-415X,LANGUAGE & LINGUISTICS,3.565,,AHCI
Linguistic Typology,1430-0532,1613-415X, LINGUISTICS,3.565,Q1,SSCI
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,0031-0182,1872-616X,PALEONTOLOGY,3.565,Q1,SCIE
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,0031-0182,1872-616X," GEOSCIENCES, MULTIDISCIPLINARY",3.565,Q2,SCIE
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,0031-0182,1872-616X," GEOGRAPHY, PHYSICAL",3.565,Q2,SCIE
Green Materials,2049-1220,2049-1239,POLYMER SCIENCE,3.564,Q2,SCIE
Green Materials,2049-1220,2049-1239," MATERIALS SCIENCE, MULTIDISCIPLINARY",3.564,Q3,SCIE
Green Materials,2049-1220,2049-1239, GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,3.564,Q4,SCIE
URBAN GEOGRAPHY,0272-3638,1938-2847,GEOGRAPHY,3.563,Q2,SSCI
URBAN GEOGRAPHY,0272-3638,1938-2847, URBAN STUDIES,3.563,Q2,SSCI
JOURNAL OF RESEARCH ON ADOLESCENCE,1050-8392,1532-7795,FAMILY STUDIES,3.563,Q1,SSCI
JOURNAL OF RESEARCH ON ADOLESCENCE,1050-8392,1532-7795," PSYCHOLOGY, DEVELOPMENTAL",3.563,Q2,SSCI
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,0268-3768,1433-3015,"ENGINEERING, MANUFACTURING",3.563,Q2,SCIE
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,0268-3768,1433-3015, AUTOMATION & CONTROL SYSTEMS,3.563,Q2,SCIE
Biomedical Optics Express,2156-7085,,BIOCHEMICAL RESEARCH METHODS,3.562,Q2,SCIE
Biomedical Optics Express,2156-7085,, OPTICS,3.562,Q2,SCIE
Biomedical Optics Express,2156-7085,," RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.562,Q2,SCIE
EAR AND HEARING,0196-0202,1538-4667,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3.562,Q1,SCIE
EAR AND HEARING,0196-0202,1538-4667, OTORHINOLARYNGOLOGY,3.562,Q1,SCIE
International Journal of Mechanics and Materials in Design,1569-1713,1573-8841,MECHANICS,3.561,Q2,SCIE
International Journal of Mechanics and Materials in Design,1569-1713,1573-8841," ENGINEERING, MECHANICAL",3.561,Q2,SCIE
International Journal of Mechanics and Materials in Design,1569-1713,1573-8841," MATERIALS SCIENCE, MULTIDISCIPLINARY",3.561,Q3,SCIE
OPTICS LETTERS,0146-9592,1539-4794,OPTICS,3.56,Q2,SCIE
CIRP Journal of Manufacturing Science and Technology,1755-5817,1755-5817,"ENGINEERING, MANUFACTURING",3.56,Q3,SCIE
JOURNAL OF ORAL REHABILITATION,0305-182X,1365-2842,"DENTISTRY, ORAL SURGERY & MEDICINE",3.558,Q2,SCIE
Journal of Applied Meteorology and Climatology,1558-8424,1558-8432,METEOROLOGY & ATMOSPHERIC SCIENCES,3.557,Q2,SCIE
Proceedings of the VLDB Endowment,2150-8097,2150-8097,"COMPUTER SCIENCE, THEORY & METHODS",3.557,Q2,SCIE
Proceedings of the VLDB Endowment,2150-8097,2150-8097," COMPUTER SCIENCE, INFORMATION SYSTEMS",3.557,Q2,SCIE
DRYING TECHNOLOGY,0737-3937,1532-2300,"ENGINEERING, MECHANICAL",3.556,Q2,SCIE
DRYING TECHNOLOGY,0737-3937,1532-2300," ENGINEERING, CHEMICAL",3.556,Q2,SCIE
ACS Earth and Space Chemistry,2472-3452,2472-3452,"CHEMISTRY, MULTIDISCIPLINARY",3.556,Q2,SCIE
ACS Earth and Space Chemistry,2472-3452,2472-3452, GEOCHEMISTRY & GEOPHYSICS,3.556,Q2,SCIE
JOURNAL OF NUCLEAR MATERIALS,0022-3115,1873-4820,NUCLEAR SCIENCE & TECHNOLOGY,3.555,Q1,SCIE
JOURNAL OF NUCLEAR MATERIALS,0022-3115,1873-4820," MATERIALS SCIENCE, MULTIDISCIPLINARY",3.555,Q3,SCIE
Journal of Financial Stability,1572-3089,1878-0962,ECONOMICS,3.554,Q2,SSCI
Journal of Financial Stability,1572-3089,1878-0962," BUSINESS, FINANCE",3.554,Q2,SSCI
Future Microbiology,1746-0913,1746-0921,MICROBIOLOGY,3.553,Q3,SCIE
IEEE COMMUNICATIONS LETTERS,1089-7798,1558-2558,TELECOMMUNICATIONS,3.553,Q2,SCIE
RESOURCE AND ENERGY ECONOMICS,0928-7655,1873-0221,ECONOMICS,3.553,Q2,SSCI
RESOURCE AND ENERGY ECONOMICS,0928-7655,1873-0221, ENVIRONMENTAL STUDIES,3.553,Q3,SSCI
Food Science & Nutrition,2048-7177,2048-7177,FOOD SCIENCE & TECHNOLOGY,3.553,Q2,SCIE
Adipocyte,2162-3945,2162-397X,ENDOCRINOLOGY & METABOLISM,3.553,Q3,SCIE
International Journal of Climate Change Strategies and Management,1756-8692,1756-8706,ENVIRONMENTAL STUDIES,3.551,Q3,SSCI
Integrating Materials and Manufacturing Innovation,2193-9764,2193-9772,"MATERIALS SCIENCE, MULTIDISCIPLINARY",3.551,Q3,SCIE
Integrating Materials and Manufacturing Innovation,2193-9764,2193-9772," ENGINEERING, MANUFACTURING",3.551,Q3,SCIE
Health Information and Libraries Journal,1471-1834,1471-1842,INFORMATION SCIENCE & LIBRARY SCIENCE,3.55,Q2,SSCI
DNA AND CELL BIOLOGY,1044-5498,1557-7430,GENETICS & HEREDITY,3.55,Q2,SCIE
DNA AND CELL BIOLOGY,1044-5498,1557-7430, CELL BIOLOGY,3.55,Q3,SCIE
DNA AND CELL BIOLOGY,1044-5498,1557-7430, BIOCHEMISTRY & MOLECULAR BIOLOGY,3.55,Q3,SCIE
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,1944-0049,1944-0057,"CHEMISTRY, APPLIED",3.549,Q2,SCIE
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,1944-0049,1944-0057, FOOD SCIENCE & TECHNOLOGY,3.549,Q2,SCIE
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,1944-0049,1944-0057, TOXICOLOGY,3.549,Q3,SCIE
CHEMOTHERAPY,0009-3157,1421-9794,ONCOLOGY,3.549,Q3,SCIE
CHEMOTHERAPY,0009-3157,1421-9794, PHARMACOLOGY & PHARMACY,3.549,Q3,SCIE
UNIVERSITY OF PENNSYLVANIA LAW REVIEW,0041-9907,,LAW,3.548,Q1,SSCI
PALAEONTOLOGY,0031-0239,1475-4983,PALEONTOLOGY,3.547,Q1,SCIE
HEALTH POLICY AND PLANNING,0268-1080,1460-2237,HEALTH CARE SCIENCES & SERVICES,3.547,Q2,SCIE
HEALTH POLICY AND PLANNING,0268-1080,1460-2237, HEALTH POLICY & SERVICES,3.547,Q2,SSCI
JOURNAL OF WORLD PREHISTORY,0892-7537,1573-7802,ARCHAEOLOGY,3.545,,AHCI
JOURNAL OF WORLD PREHISTORY,0892-7537,1573-7802, ANTHROPOLOGY,3.545,Q1,SSCI
Journal of Systematics and Evolution,1674-4918,1759-6831,PLANT SCIENCES,3.544,Q2,SCIE
Frontiers in Neuroanatomy,1662-5129,1662-5129,ANATOMY & MORPHOLOGY,3.543,Q1,SCIE
Frontiers in Neuroanatomy,1662-5129,1662-5129, NEUROSCIENCES,3.543,Q3,SCIE
G3-Genes Genomes Genetics,2160-1836,2160-1836,GENETICS & HEREDITY,3.542,Q2,SCIE
Diabetes & Vascular Disease Research,1479-1641,1752-8984,PERIPHERAL VASCULAR DISEASE,3.541,Q2,SCIE
Diabetes & Vascular Disease Research,1479-1641,1752-8984, ENDOCRINOLOGY & METABOLISM,3.541,Q3,SCIE
ChemMedChem,1860-7179,1860-7187,PHARMACOLOGY & PHARMACY,3.54,Q3,SCIE
ChemMedChem,1860-7179,1860-7187," CHEMISTRY, MEDICINAL",3.54,Q3,SCIE
JOURNAL OF ORAL PATHOLOGY & MEDICINE,0904-2512,1600-0714,PATHOLOGY,3.539,Q2,SCIE
JOURNAL OF ORAL PATHOLOGY & MEDICINE,0904-2512,1600-0714," DENTISTRY, ORAL SURGERY & MEDICINE",3.539,Q2,SCIE
JOURNAL OF BANKING & FINANCE,0378-4266,1872-6372,"BUSINESS, FINANCE",3.539,Q2,SSCI
JOURNAL OF BANKING & FINANCE,0378-4266,1872-6372, ECONOMICS,3.539,Q2,SSCI
FISHERIES,0363-2415,1548-8446,FISHERIES,3.539,Q1,SCIE
Latin American Economic Review,2198-3526,2196-436X,ECONOMICS,3.538,Q2,SSCI
FRESHWATER BIOLOGY,0046-5070,1365-2427,MARINE & FRESHWATER BIOLOGY,3.538,Q1,SCIE
FRESHWATER BIOLOGY,0046-5070,1365-2427, ECOLOGY,3.538,Q2,SCIE
NEUROMUSCULAR DISORDERS,0960-8966,1873-2364,CLINICAL NEUROLOGY,3.538,Q2,SCIE
NEUROMUSCULAR DISORDERS,0960-8966,1873-2364, NEUROSCIENCES,3.538,Q3,SCIE
PSYCHIATRISCHE PRAXIS,0303-4259,1439-0876,PSYCHIATRY,3.537,Q2,SSCI
SURGICAL CLINICS OF NORTH AMERICA,0039-6109,1558-3171,SURGERY,3.537,Q1,SCIE
JOURNAL OF SOILS AND SEDIMENTS,1439-0108,1614-7480,SOIL SCIENCE,3.536,Q2,SCIE
JOURNAL OF SOILS AND SEDIMENTS,1439-0108,1614-7480, ENVIRONMENTAL SCIENCES,3.536,Q3,SCIE
GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,0721-832X,1435-702X,OPHTHALMOLOGY,3.535,Q2,SCIE
Porcine Health Management,,2055-5660,VETERINARY SCIENCES,3.535,Q1,SCIE
NONLINEAR PROCESSES IN GEOPHYSICS,1023-5809,1607-7946,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.534,Q1,SCIE
NONLINEAR PROCESSES IN GEOPHYSICS,1023-5809,1607-7946, METEOROLOGY & ATMOSPHERIC SCIENCES,3.534,Q2,SCIE
NONLINEAR PROCESSES IN GEOPHYSICS,1023-5809,1607-7946," PHYSICS, FLUIDS & PLASMAS",3.534,Q2,SCIE
NONLINEAR PROCESSES IN GEOPHYSICS,1023-5809,1607-7946," GEOSCIENCES, MULTIDISCIPLINARY",3.534,Q2,SCIE
DIFFERENTIATION,0301-4681,1432-0436,DEVELOPMENTAL BIOLOGY,3.533,Q2,SCIE
DIFFERENTIATION,0301-4681,1432-0436, CELL BIOLOGY,3.533,Q3,SCIE
SHOCK,1073-2322,1540-0514,SURGERY,3.533,Q2,SCIE
SHOCK,1073-2322,1540-0514, PERIPHERAL VASCULAR DISEASE,3.533,Q2,SCIE
SHOCK,1073-2322,1540-0514, CRITICAL CARE MEDICINE,3.533,Q3,SCIE
SHOCK,1073-2322,1540-0514, HEMATOLOGY,3.533,Q3,SCIE
Neurocritical Care,1541-6933,1556-0961,CLINICAL NEUROLOGY,3.532,Q2,SCIE
Neurocritical Care,1541-6933,1556-0961, CRITICAL CARE MEDICINE,3.532,Q3,SCIE
Analytical Methods,1759-9660,1759-9679,SPECTROSCOPY,3.532,Q1,SCIE
Analytical Methods,1759-9660,1759-9679," CHEMISTRY, ANALYTICAL",3.532,Q2,SCIE
Analytical Methods,1759-9660,1759-9679, FOOD SCIENCE & TECHNOLOGY,3.532,Q2,SCIE
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,0022-1031,1096-0465,"PSYCHOLOGY, SOCIAL",3.532,Q2,SSCI
Venture Capital,1369-1066,1464-5343,"BUSINESS, FINANCE",3.531,Q2,SSCI
INTERNATIONAL JOURNAL OF REMOTE SENSING,0143-1161,1366-5901,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,3.531,Q2,SCIE
INTERNATIONAL JOURNAL OF REMOTE SENSING,0143-1161,1366-5901, REMOTE SENSING,3.531,Q3,SCIE
Advances in Child Development and Behavior,0065-2407,,"PSYCHOLOGY, DEVELOPMENTAL",3.531,Q2,SSCI
POLYMER COMPOSITES,0272-8397,1548-0569,"MATERIALS SCIENCE, COMPOSITES",3.531,Q2,SCIE
POLYMER COMPOSITES,0272-8397,1548-0569, POLYMER SCIENCE,3.531,Q2,SCIE
JOURNAL OF ETHNIC AND MIGRATION STUDIES,1369-183X,1469-9451,ETHNIC STUDIES,3.53,Q1,SSCI
JOURNAL OF ETHNIC AND MIGRATION STUDIES,1369-183X,1469-9451, DEMOGRAPHY,3.53,Q2,SSCI
Water,,2073-4441,WATER RESOURCES,3.53,Q2,SCIE
Water,,2073-4441, ENVIRONMENTAL SCIENCES,3.53,Q3,SCIE
CLINICS IN GERIATRIC MEDICINE,0749-0690,1879-8853,GERIATRICS & GERONTOLOGY,3.529,Q3,SCIE
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,0886-3350,1873-4502,OPHTHALMOLOGY,3.528,Q2,SCIE
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,0886-3350,1873-4502, SURGERY,3.528,Q2,SCIE
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2167-8421,2167-9223,CLINICAL NEUROLOGY,3.528,Q2,SCIE
Seminars in Oncology Nursing,0749-2081,1878-3449,NURSING,3.527,Q1,SCIE
Seminars in Oncology Nursing,0749-2081,1878-3449, NURSING,3.527,Q1,SSCI
Seminars in Oncology Nursing,0749-2081,1878-3449, ONCOLOGY,3.527,Q3,SCIE
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,1530-7026,1531-135X,BEHAVIORAL SCIENCES,3.526,Q2,SCIE
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,1530-7026,1531-135X, NEUROSCIENCES,3.526,Q3,SCIE
HUMAN PATHOLOGY,0046-8177,1532-8392,PATHOLOGY,3.526,Q2,SCIE
JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,1745-655X,HEALTH POLICY & SERVICES,3.526,Q2,SSCI
JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,1745-655X, HEALTH CARE SCIENCES & SERVICES,3.526,Q2,SCIE
JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,1745-655X," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.526,Q2,SSCI
JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,1745-655X," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.526,Q2,SCIE
DENTOMAXILLOFACIAL RADIOLOGY,0250-832X,1476-542X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.525,Q2,SCIE
DENTOMAXILLOFACIAL RADIOLOGY,0250-832X,1476-542X," DENTISTRY, ORAL SURGERY & MEDICINE",3.525,Q2,SCIE
IEEE Transactions on Green Communications and Networking,2473-2400,2473-2400,TELECOMMUNICATIONS,3.525,Q2,SCIE
Journal of Surgical Education,1931-7204,1878-7452,"EDUCATION, SCIENTIFIC DISCIPLINES",3.524,Q1,SCIE
Journal of Surgical Education,1931-7204,1878-7452, SURGERY,3.524,Q2,SCIE
Journal of Racial and Ethnic Health Disparities,2197-3792,2196-8837,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.524,Q2,SSCI
Current Vascular Pharmacology,1570-1611,1875-6212,PERIPHERAL VASCULAR DISEASE,3.524,Q3,SCIE
Current Vascular Pharmacology,1570-1611,1875-6212, PHARMACOLOGY & PHARMACY,3.524,Q3,SCIE
CLINICAL ENDOCRINOLOGY,0300-0664,1365-2265,ENDOCRINOLOGY & METABOLISM,3.523,Q3,SCIE
Micromachines,,2072-666X,"CHEMISTRY, ANALYTICAL",3.523,Q2,SCIE
Micromachines,,2072-666X, INSTRUMENTS & INSTRUMENTATION,3.523,Q2,SCIE
Micromachines,,2072-666X," PHYSICS, APPLIED",3.523,Q2,SCIE
Micromachines,,2072-666X, NANOSCIENCE & NANOTECHNOLOGY,3.523,Q3,SCIE
PHOTOCHEMISTRY AND PHOTOBIOLOGY,0031-8655,1751-1097,BIOPHYSICS,3.521,Q2,SCIE
PHOTOCHEMISTRY AND PHOTOBIOLOGY,0031-8655,1751-1097, BIOCHEMISTRY & MOLECULAR BIOLOGY,3.521,Q3,SCIE
Carbon Management,1758-3004,1758-3012,ENVIRONMENTAL SCIENCES,3.52,Q3,SCIE
Carbon Management,1758-3004,1758-3012, ENVIRONMENTAL STUDIES,3.52,Q3,SSCI
CHEMPHYSCHEM,1439-4235,1439-7641,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",3.52,Q2,SCIE
CHEMPHYSCHEM,1439-4235,1439-7641," CHEMISTRY, PHYSICAL",3.52,Q3,SCIE
IRRIGATION SCIENCE,0342-7188,1432-1319,AGRONOMY,3.519,Q1,SCIE
IRRIGATION SCIENCE,0342-7188,1432-1319, WATER RESOURCES,3.519,Q2,SCIE
International Journal of Environmental Science and Technology,1735-1472,1735-2630,ENVIRONMENTAL SCIENCES,3.519,Q3,SCIE
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,0954-3899,1361-6471,"PHYSICS, PARTICLES & FIELDS",3.519,Q2,SCIE
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,0954-3899,1361-6471," PHYSICS, NUCLEAR",3.519,Q2,SCIE
Journal of Inorganic and Organometallic Polymers and Materials,1574-1443,1574-1451,POLYMER SCIENCE,3.518,Q2,SCIE
JOURNAL OF VIRAL HEPATITIS,1352-0504,1365-2893,GASTROENTEROLOGY & HEPATOLOGY,3.517,Q3,SCIE
JOURNAL OF VIRAL HEPATITIS,1352-0504,1365-2893, INFECTIOUS DISEASES,3.517,Q3,SCIE
JOURNAL OF VIRAL HEPATITIS,1352-0504,1365-2893, VIROLOGY,3.517,Q3,SCIE
TSINGHUA SCIENCE AND TECHNOLOGY,1007-0214,1878-7606,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3.515,Q2,SCIE
TSINGHUA SCIENCE AND TECHNOLOGY,1007-0214,1878-7606," ENGINEERING, ELECTRICAL & ELECTRONIC",3.515,Q2,SCIE
TSINGHUA SCIENCE AND TECHNOLOGY,1007-0214,1878-7606," COMPUTER SCIENCE, INFORMATION SYSTEMS",3.515,Q2,SCIE
Race Ethnicity and Education,1361-3324,1470-109X,ETHNIC STUDIES,3.514,Q1,SSCI
Race Ethnicity and Education,1361-3324,1470-109X, EDUCATION & EDUCATIONAL RESEARCH,3.514,Q2,SSCI
JOURNAL OF SYSTEMS AND SOFTWARE,0164-1212,1873-1228,"COMPUTER SCIENCE, THEORY & METHODS",3.514,Q2,SCIE
JOURNAL OF SYSTEMS AND SOFTWARE,0164-1212,1873-1228," COMPUTER SCIENCE, SOFTWARE ENGINEERING",3.514,Q2,SCIE
AGING & MENTAL HEALTH,1360-7863,1364-6915,GERONTOLOGY,3.514,Q2,SSCI
AGING & MENTAL HEALTH,1360-7863,1364-6915, PSYCHIATRY,3.514,Q2,SSCI
AGING & MENTAL HEALTH,1360-7863,1364-6915, GERIATRICS & GERONTOLOGY,3.514,Q3,SCIE
AGING & MENTAL HEALTH,1360-7863,1364-6915, PSYCHIATRY,3.514,Q3,SCIE
